,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,비유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출총이익증가율,당기순이익증가율,정상영업손익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,영업비용대영업수익비율,기업순이익률,금융비용대총비용비율,이자부담률,1주당매출액,1주당순이익,1주당CASHFLOW,1주당정상영업이익,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,비유동비율,유동비율,당좌비율,현금비율,매입채무대재고자산비율,부채비율,유동부채비율,단기차입금대총차입금비율,순운전자본비율,차입금비율,CASHFLOW대부채비율,CASHFLOW대차입금비율,CASHFLOW대총자본비율,CASHFLOW대매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의증가,경영기간,상장기간,label,산업분류,기업생애주기_Shake-Out,기업생애주기_도입기,기업생애주기_성숙기,기업생애주기_성장기,기업생애주기_쇠퇴기
10,(주)ES큐브,50120,2014/12,20.09843438414867,5.604042259990813,20.48648225877936,18.41685649202733,-2.889066241021548,17.12451618993675,-24.125808488489174,-34.364876972913365,96.26276130286826,114.67811158798284,21.42,-1.38,-1.19,1.15,78.58,99.62,-2.42,-1.29,-10.85,1218.29,13.0,79.18,4.69,81.63,13.16,444.5,70.89,18.37,87.66,12.34,20.95,769.89,668.53,425.42,20.02,14.07,12.1,0.0,71.03,5.41,39.24,102.05,4.84,6.16,0.86,0.97,7.57,41.31,1.05,1.23,7.2,13.48,19.86,0.94,2889.0,7971.0,110.0,15418.0,37.0,13.0,0,0,1,0,0,0,0
11,(주)ES큐브,50120,2015/12,-1.7522786688334628,-14.39756415832971,-10.892567348263553,38.886217178032126,11.48915187376726,0.0523897799629241,-5.1889338731444,23.07046098918408,-275.1219512195122,-2474.2690058479534,27.8,-5.47,-4.11,1.56,72.2,109.63,-4.52,-0.47,-3.5,1155.09,18.0,-76.13,-111.26,74.04,16.47,285.19,61.84,25.96,89.27,10.73,29.08,765.67,639.55,492.89,17.01,12.01,10.83,0.0,64.37,3.89,0.93,2.88,0.1,0.13,0.75,0.85,6.51,35.54,0.96,1.13,6.55,14.27,19.76,0.85,-2778.0,399.0,2950.0,973.0,38.0,14.0,0,0,0,0,0,0,1
12,(주)ES큐브,50120,2016/12,89.07766990291263,258.9430894308943,23.566693378014133,275.893351800554,9.803921568627452,44.39118701413784,-18.655848931274168,-16.083617747440275,1033.7234503684438,153.2266009852217,28.68,62.82,26.79,38.07,71.32,93.7,26.53,-0.61,-1.06,861.65,546.0,31.18,54.3,48.39,14.64,93.75,41.3,51.61,68.18,31.82,75.71,1493.9,1275.25,714.33,13.83,46.68,4.75,4.03,45.15,41.56,-2.3,-2.58,-0.73,-2.24,0.43,0.57,1.74,31.4,0.74,0.88,4.82,13.3,7.59,0.68,1241.0,-23005.0,37786.0,4774.0,39.0,15.0,0,0,0,0,0,1,0
13,(주)ES큐브,50120,2017/12,0.6912946322445681,64.55266138165345,0.2987069134929057,1.059341550139096,12.070354457572504,1.5635460834635124,4.249176120621774,-1.4946619217081851,-91.93166519660184,4.072188801480796,27.1,4.86,1.65,2.41,72.9,93.71,1.99,1.0,1.09,429.41,21.0,27.76,27.01,48.2,16.35,93.04,40.32,51.8,68.77,31.23,75.33,1378.49,1153.05,654.97,14.77,45.42,5.08,4.2,44.7,39.28,5.37,6.21,1.68,4.97,0.34,0.49,1.07,31.59,0.7,0.83,4.53,13.8,3.83,0.66,2311.0,-6850.0,-1313.0,-7033.0,40.0,16.0,0,0,0,0,1,0,0
14,(주)가비아,79940,2011/12,22.75854248563653,11.46394242866489,23.69493415690816,22.01689189189189,-54.83870967741935,30.731209369795305,30.07163429584226,25.350919010540814,25.87475327471739,22.2504482964734,44.79,13.28,11.9,18.06,55.21,84.63,11.51,-0.52,-1.46,4148.88,372.0,757.78,642.36,44.4,0.05,79.84,44.37,55.6,74.92,25.08,74.21,207.38,207.27,86.37,3009.85,33.47,28.57,74.78,22.99,7.77,61.1,263.28,15.32,18.83,0.9,1.23,3.3,111.27,2.03,2.03,2306.01,12.66,2.51,1.41,9651.0,-10140.0,2707.0,2231.0,12.0,7.0,0,0,0,0,0,1,0
15,(주)가비아,79940,2012/12,31.239030698648275,70.81583818682559,10.958144051045531,47.429188470803226,719.7080291970802,21.12152221263305,30.695130490736013,21.512782590323265,34.26942266571632,-6.857352401906858,41.64,13.64,12.54,21.3,58.36,88.97,7.52,-6.04,-17.7,5178.45,524.0,991.7,571.4,37.54,0.78,60.09,37.24,62.46,69.15,30.85,90.33,215.35,213.68,87.48,1014.96,44.62,25.21,26.92,20.11,22.44,43.49,86.47,13.42,16.56,0.92,1.28,3.24,46.71,2.27,2.28,525.34,12.67,2.3,1.54,13225.0,-20717.0,8510.0,987.0,13.0,8.0,0,0,0,0,0,1,0
16,(주)가비아,79940,2013/12,7.0221127338846845,-2.077496431780938,16.923461574522612,1.0742389242586436,-62.096774193548384,16.37967596912376,2.342958093197023,10.561274168869106,0.9236649325830768,-7.690288713910761,44.98,13.45,10.77,15.65,55.02,90.05,7.59,-4.34,-11.46,5299.73,465.0,960.84,527.42,41.01,0.25,69.51,40.91,58.99,75.19,24.81,78.45,249.42,248.8,82.18,1988.62,32.99,21.87,48.44,24.57,15.55,57.53,122.06,14.27,18.42,0.8,1.11,2.89,32.25,2.04,2.05,413.22,11.61,1.89,1.42,12813.0,-9998.0,-3471.0,-671.0,14.0,9.0,0,0,0,0,1,0,0
17,(주)가비아,79940,2014/12,8.015915642709166,0.1376592528611531,12.052282690045974,5.2100559282037935,0.0,10.072886297376094,13.803837229045222,10.577800144685936,-28.96065642751946,19.17827694057436,43.71,8.4,7.12,8.18,56.29,89.58,6.84,-0.35,-1.13,5961.89,271.0,1202.55,621.35,42.54,0.0,74.03,42.54,57.46,76.63,23.37,74.99,258.29,258.29,98.0,0.0,30.51,21.49,48.06,26.07,11.92,63.03,161.32,14.73,18.05,0.85,1.12,3.52,34.03,2.03,2.03,1718.42,27.05,2.17,1.45,16224.0,-10914.0,-1875.0,3585.0,15.0,10.0,0,0,0,0,1,0,0
18,(주)가비아,79940,2015/12,6.634599772690372,-0.4905792608965201,24.612962477040146,-6.677498542994896,0.0,11.37067938021454,13.945941913666202,18.244396404596657,26.314230712276025,35.38112847429321,45.36,9.31,8.38,11.99,54.64,87.62,8.0,-0.46,-1.75,6770.89,439.0,1422.75,838.46,49.71,0.0,98.86,49.71,50.29,80.03,19.97,62.84,395.42,395.42,175.75,0.0,24.95,15.71,8.49,37.14,7.15,84.54,295.19,16.88,19.36,0.9,1.15,4.16,37.46,1.95,1.95,0.0,25.06,2.48,1.48,19258.0,-8773.0,-3351.0,7306.0,16.0,11.0,0,0,0,0,1,0,0
19,(주)가비아,79940,2016/12,19.71317637654403,17.07885256115069,15.31997166867666,24.058514060784983,0.0,14.098173515981737,11.489487064779755,13.495309117151791,19.320046893317706,10.5736188210415,46.17,9.96,8.82,10.68,53.83,87.72,8.5,-0.4,-1.46,7548.86,423.0,1320.32,927.12,47.89,2.26,91.89,46.8,52.11,76.28,23.72,68.32,295.5,288.81,124.81,370.37,31.1,21.25,23.4,31.68,9.8,62.2,197.5,14.76,18.17,0.89,1.14,4.02,28.87,1.82,1.84,149.85,10.12,2.55,1.4,17871.0,-18248.0,2076.0,2226.0,17.0,12.0,0,0,0,0,0,1,0
