,거래소코드,회계년도,종가,상장주식수,시가총액
31,011170,2017/12,368000,34275419,12613354192000
31,017670,2021/12,57900,218833144,12670439037600
31,051900,2011/12,487500,15618197,7613871037500
31,066570,2018/12,62300,163647814,10195258812200
31,251270,2020/12,131500,85845303,11288657344500
32,000030,2016/12,12750,676000000,8619000000000
32,000720,2012/12,70000,111355765,7794903550000
32,002790,2017/12,141000,82458180,11626603380000
32,009540,2019/12,126500,70773116,8952799174000
32,047810,2015/12,78100,97475107,7612805856700
32,053000,2011/12,9430,806015340,7600724656200
32,086790,2020/12,34500,300242062,10358351139000
32,086790,2021/12,42050,300242062,12625178707100
32,096770,2014/12,85100,92465564,7868819496400
32,161390,2013/12,60700,123875069,7519216688300
32,251270,2018/12,111500,85265865,9507143947500
33,010130,2012/12,405000,18870000,7642350000000
33,011170,2018/12,277000,34275419,9494291063000
33,011170,2020/12,276000,34275419,9460015644000
33,024110,2014/12,14100,552515139,7790463459900
33,034220,2017/12,29900,357815700,10698689430000
33,066570,2016/12,51600,163647814,8444227202400
33,086280,2011/12,192000,37500000,7200000000000
33,091990,2021/12,80200,155028498,12433285539600
33,128940,2015/12,728000,10230909,7448101752000
33,139480,2013/12,266500,27875819,7428905763500
33,316140,2019/12,11600,722267683,8378305122800
34,000030,2017/12,15750,676000000,10647000000000
34,000810,2020/12,187500,47374837,8882781937500
34,003600,2014/12,163500,46961812,7678256262000
34,004020,2012/12,87800,85314475,7490610905000
34,006400,2013/12,162000,45558341,7380451242000
34,008930,2015/12,129000,57185523,7376932467000
34,009540,2018/12,128500,70773116,9094345406000
34,010130,2019/12,425000,18870000,8019750000000
34,018260,2021/12,156500,77377800,12109625700000
34,030200,2016/12,29400,261111808,7676687155200
34,034020,2011/12,65100,105843467,6890409701700
35,000240,2011/12,45250,152189929,6886594287250
35,004020,2013/12,86300,85314475,7362639192500
35,009150,2012/12,99200,74693696,7409614643200
35,010130,2014/12,403500,18870000,7614045000000
35,018880,2020/12,16250,533800000,8674250000000
35,030200,2015/12,28250,261111808,7376408576000
35,035250,2016/12,35750,213940500,7648372875000
35,035720,2018/12,103000,83387773,8588940619000
35,036570,2017/12,447500,21939022,9817712345000
35,251270,2019/12,92400,85744564,7922797713600
35,361610,2021/12,168000,71297592,11977995456000
36,000720,2013/12,60700,111355765,6759294935500
36,003670,2021/12,144000,77463220,11154703680000
36,004020,2014/12,63500,116549784,7400911284000
36,004020,2016/12,57000,133445785,7606409745000
36,010130,2018/12,432500,18870000,8161275000000
36,011170,2019/12,224000,34275419,7677693856000
36,023530,2015/12,232500,31490892,7321632390000
36,024110,2011/12,12500,546001430,6825017875000
36,035720,2017/12,137000,67908527,9303468199000
36,068760,2020/12,238600,35810637,8544417988200
36,090430,2012/12,1214000,5845849,7096860686000
37,001040,2015/12,251000,29133748,7312570748000
37,006400,2012/12,151000,45558341,6879309491000
37,006400,2016/12,109000,68764530,7495333770000
37,010130,2017/12,493000,18870000,9302910000000
37,010950,2020/12,69200,112582792,7790729206400
37,024110,2018/12,14050,559978815,7867702350750
37,034730,2013/12,135000,50000000,6750000000000
37,036570,2011/12,307500,21847635,6718147762500
37,088350,2014/12,8290,868530000,7200113700000
37,091990,2019/12,53000,143928048,7628186544000
37,247540,2021/12,500800,21919466,10977268572800
38,009540,2020/12,108500,70773116,7678883086000
38,010140,2011/12,27900,230875386,6441423269400
38,024110,2017/12,16450,559978815,9211651506750
38,030200,2018/12,29800,261111808,7781131878400
38,030200,2019/12,27000,261111808,7050018816000
