,상장기간
1421,28
1422,29
1423,30
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,1
1431,2
1432,3
1433,4
1434,5
1435,6
1436,10
1437,11
1438,12
1439,13
1440,14
1441,15
1442,16
1443,17
1444,18
1445,19
1446,20
1447,21
1448,7
1449,8
1450,9
1451,10
1452,7
1453,8
1454,9
1455,10
1456,11
1457,12
1458,13
1459,14
1460,15
1461,16
1462,17
1463,18
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,1
1471,2
1472,3
1473,4
1474,5
1475,1
1476,2
1477,3
1478,4
1479,5
1480,6
1481,7
1482,8
1483,0
1484,1
1485,2
1486,3
1487,4
1488,5
1489,6
1490,0
1491,1
1492,2
1493,8
1494,9
1495,0
1496,0
1497,1
1498,2
1499,3
1500,4
1501,5
1502,6
1503,7
1504,8
1505,9
1506,10
1507,3
1508,4
1509,5
1510,6
1511,7
1512,8
1513,9
1514,10
1515,11
1516,12
1517,13
1518,14
1519,11
1520,0
1521,0
1522,0
1523,1
1524,2
1525,3
1526,4
1527,5
1528,6
1529,7
1530,8
1531,9
1532,8
1533,9
1534,10
1535,11
1536,12
1537,13
1538,14
1539,15
1540,16
1541,17
1542,18
1543,19
1544,1
1545,2
1546,3
1547,4
1548,5
1549,6
1550,7
1551,8
1552,9
1553,10
1554,11
1555,12
1556,5
1557,6
1558,7
1559,8
1560,9
1561,10
1562,11
1563,12
1564,13
1565,14
1566,15
1567,16
1568,8
1569,9
1570,10
1571,11
1572,12
1573,13
1574,14
1575,15
1576,16
1577,17
1578,18
1579,19
1580,12
1581,13
1582,14
1583,15
1584,16
1585,17
1586,18
1587,19
1588,20
1589,21
1590,22
1591,23
1592,1
1593,2
1594,3
1595,4
1596,5
1597,6
1598,7
1599,8
1600,7
1601,8
1602,9
1603,10
1604,11
1605,12
1606,13
1607,14
1608,15
1609,16
1610,17
1611,18
1612,11
1613,12
1614,13
1615,14
1616,15
1617,16
1618,17
1619,18
1620,19
1621,20
1622,21
1623,22
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,1
1631,2
1632,3
1633,4
1634,5
1635,9
1636,10
1637,11
1638,12
1639,13
1640,14
1641,15
1642,16
1643,17
1644,18
1645,19
1646,20
1647,5
1648,6
1649,7
1650,15
1651,16
1652,17
1653,18
1654,19
1655,20
1656,21
1657,22
1658,23
1659,24
1660,25
1661,26
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,1
1670,2
1671,3
1672,4
1673,5
1674,0
1675,0
1676,0
1677,1
1678,2
1679,3
1680,4
1681,5
1682,0
1683,0
1684,0
1685,1
1686,2
1687,3
1688,4
1689,5
1690,6
1691,7
1692,8
1693,9
1694,1
1695,0
1696,0
1697,1
1698,2
1699,3
1700,1
1701,2
1702,3
1703,4
1704,5
1705,6
1706,7
1707,8
1708,9
1709,10
1710,11
1711,12
1712,0
1713,0
1714,0
1715,0
1716,1
1717,2
1718,0
1719,1
1720,2
1721,3
1722,4
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,1
1734,2
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,1
1742,2
1743,3
1744,4
1745,5
1746,6
1747,7
1748,8
1749,9
1750,10
1751,8
1752,9
1753,10
1754,11
1755,12
1756,13
1757,14
1758,15
1759,16
1760,17
1761,18
1762,19
1763,0
1764,0
1765,0
1766,1
1767,2
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,1
1775,2
1776,3
1777,4
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,1
1788,2
1789,0
1790,0
1791,0
1792,1
1793,2
1794,3
1795,4
1796,5
1797,6
1798,7
1799,8
1800,9
1801,1
1802,2
1803,3
1804,4
1805,5
1806,6
1807,7
1808,8
1809,0
1810,0
1811,1
1812,2
1813,3
1814,4
1815,5
1816,6
1817,7
1818,8
1819,9
1820,10
1821,10
1822,11
1823,12
1824,13
1825,14
1826,15
1827,16
1828,17
1829,18
1830,19
1831,20
1832,12
1833,13
1834,14
1835,15
1836,16
1837,17
1838,18
1839,19
1840,20
1841,21
1842,22
1843,23
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,1
1851,2
1852,3
1853,0
1854,0
1855,0
1856,0
1857,0
1858,1
1859,2
1860,3
1861,4
1862,0
1863,0
1864,0
1865,0
1866,0
1867,1
1868,2
1869,3
1870,4
1871,5
1872,6
1873,7
1874,1
1875,2
1876,3
1877,4
1878,5
1879,6
1880,0
1881,0
1882,0
1883,0
1884,1
1885,2
1886,17
1887,18
1888,19
1889,1
1890,2
1891,3
1892,4
1893,5
1894,6
1895,7
1896,8
1897,1
1898,2
1899,3
1900,4
1901,5
1902,6
1903,7
1904,8
1905,9
1906,10
1907,11
1908,12
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,1
1916,2
1917,3
1918,4
1919,5
1920,0
1921,0
1922,0
1923,0
1924,1
1925,2
1926,3
1927,4
1928,5
1929,6
1930,7
1931,8
1932,0
1933,0
1934,0
1935,1
1936,6
1937,7
1938,8
1939,9
1940,10
1941,11
1942,12
1943,13
1944,14
1945,15
1946,16
1947,17
1948,6
1949,7
1950,8
1951,9
1952,10
1953,11
1954,12
1955,13
1956,14
1957,15
1958,16
1959,17
1960,14
1961,15
1962,10
1963,11
1964,12
1965,13
1966,14
1967,15
1968,16
1969,17
1970,18
1971,19
1972,20
1973,21
1974,10
1975,11
1976,12
1977,13
1978,14
1979,15
1980,16
1981,17
1982,18
1983,19
1984,20
1985,21
1986,9
1987,10
1988,11
1989,12
1990,13
1991,14
1992,15
1993,16
1994,17
1995,18
1996,19
1997,20
1998,0
1999,0
2000,0
2001,0
2002,1
2003,2
2004,3
2005,4
2006,5
2007,16
2008,17
2009,18
2010,19
2011,20
2012,21
2013,22
2014,23
2015,24
2016,25
2017,26
2018,27
2019,0
2020,0
2021,0
2022,1
2023,2
2024,3
2025,4
2026,0
2027,0
2028,0
2029,0
2030,0
2031,1
2032,2
2033,10
2034,11
2035,12
2036,13
2037,14
2038,15
2039,16
2040,17
2041,18
2042,19
2043,20
2044,21
2045,0
2046,0
2047,0
2048,0
2049,1
2050,2
2051,3
2052,4
2053,5
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,1
2063,2
2064,3
2065,4
2066,4
2067,5
2068,0
2069,0
2070,1
2071,2
2072,3
2073,4
2074,4
2075,5
2076,6
2077,7
2078,8
2079,9
2080,10
2081,11
2082,12
2083,13
2084,14
2085,15
2086,0
2087,0
2088,0
2089,0
2090,0
2091,1
2092,2
2093,3
2094,4
2095,5
2096,6
2097,7
2098,0
2099,0
2100,0
2101,0
2102,1
2103,2
2104,12
2105,13
2106,14
2107,15
2108,16
2109,17
2110,18
2111,19
2112,20
2113,21
2114,22
2115,23
2116,1
2117,2
2118,3
2119,4
2120,5
2121,6
2122,7
2123,0
2124,0
2125,0
2126,0
2127,1
2128,2
2129,3
2130,4
2131,5
2132,6
2133,5
2134,6
2135,7
2136,8
2137,9
2138,10
2139,11
2140,12
2141,13
2142,14
2143,15
2144,16
2145,0
2146,1
2147,2
2148,3
2149,4
2150,5
2151,6
2152,7
2153,8
2154,9
2155,0
2156,1
2157,2
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,1
2166,2
2167,3
2168,4
2169,5
2170,6
2171,7
2172,8
2173,9
2174,10
2175,11
2176,12
2177,13
2178,14
2179,15
2180,16
2181,17
2182,0
2183,1
2184,2
2185,3
2186,4
2187,0
2188,0
2189,0
2190,1
2191,2
2192,3
2193,4
2194,5
2195,6
2196,7
2197,8
2198,9
2199,11
2200,12
2201,13
2202,14
2203,15
2204,16
2205,17
2206,18
2207,19
2208,20
2209,21
2210,22
2211,3
2212,4
2213,5
2214,6
2215,7
2216,8
2217,9
2218,10
2219,11
2220,12
2221,13
2222,14
2223,9
2224,10
2225,11
2226,12
2227,13
2228,14
2229,15
2230,16
2231,17
2232,18
2233,19
2234,20
2235,0
2236,1
2237,2
2238,3
