# 코스피 + 코스닥
금강제강(주), 부도발생
넥스콘테크놀러지(주), 상장폐지신청
넥슨지티(주), 피합병
대덕GDS(주), 피합병
대우자동차판매(주), 피합병
동양텔레콤(주), 감사의견거절
두산건설(주), 피합병
디브이에스코리아(주), 감사의견거절
디에스티(주), 감사의견한정
럭슬(주), 감사의견거절
레이젠(주), 감사의견거절
롯데푸드(주), 피합병
미래오토스(주), 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
미리넷(주), 자본전액잠식
미주제강(주), 감사의견거절
벽산건설(주), 감사의견거절
부산방직공업(주), 피합병
삼목강업(주), 피합병
삼성물산(주), 피합병
삼환기업(주), 자본잠식 50%이상 또는 매출액 50억원 미만 사실발생
성융광전투자유한공사(주), 감사의견거절
성지건설(주), 감사의견거절
세미텍(주), 피합병
쌍용건설(주), 자본전액잠식
씨제이이앤엠(주), 피합병
아세아페이퍼텍(주), 피합병
아이스테이션(주), 자본전액잠식
아이이(주), 기업의 계속 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
알보젠코리아(주), 피합병
어울림네트웍스(주), 기업의 계속성 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
어울림엘시스(주), 2반기 연속 자본잠식률 50%이상
어울림정보기술(주), 2반기 연속 자본잠식률 50%이상
에버테크노(주), 감사의견거절
에스비에스미디어홀딩스(주), 피합병
에스앤씨엔진그룹리미티드(주), 법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함
에스에스씨피(주), 최종부도발생
에스에이치엔엘(주), 감사의견거절
에스케이 머티리얼즈(주), 피합병
에스케이(주), 피합병
에스케이브로드밴드(주), 피합병
에스케이씨솔믹스(주), 자진상장폐지
에스케이커뮤니케이션즈(주), 자진상장폐지
에이스하이텍(주), 감사의견거절
에이아이비트(주), 감사의견거절
엠텍비젼(주), 최근 5사업연도 연속 영업손실
연합과기공고유한공사(주), 감사의견거절
완리인터내셔널홀딩스(주), 감사의견거절
우경(주), 감사의견거절
우양에이치씨(주), 최종부도발생
울트라건설(주), 자본전액잠식
웅진에너지(주), 감사의견거절
웨이포트유한공사(주), 상장폐지신청
유네코(주), 감사의견거절
유니온스틸(주), 피합병
이디디컴퍼니(주), 반기재무제표에 대한 검토의견거절로 관리종목 지정후 자본잠식률 50% 이상
이엘케이(주), 감사의견거절
자안바이오(주), 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
잘만테크(주), 감사의견거절
제이앤유글로벌(주), 감사의견거절
제이에스전선(주), 감사의견거절
제일모직(주), 피합병
중국고섬공고유한공사(주), 감사의견거절
중국원양자원유한공사(주), 감사의견거절
지스마트글로벌(주), 감사의견거절
차이나그레이트스타인터내셔널리미티드(주), 법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니하는 경우
차이나하오란리사이클링유한공사(주), 제28조제1항제9호에 따라 관리종목 지정 후 공시규정 제19조 제1항에 따른 분기보고서 법정기한 내 미제출
참존글로벌(주), 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
케이맥(주), 피합병
코리아오토글라스(주), 피합병
코오롱머티리얼(주), 감사의견거절
코원에너지서비스(주), 자진상장폐지
태림페이퍼(주), 자진상장폐지
태산엘시디(주), 자본전액잠식
평산차업집단유한공사(주), 시가총액요건미달
풍림산업(주), 최종부도발생
피아이첨단소재(주), 코스피상장
한국유리공업(주), 자진상장폐지
한국제지(주), 피합병
한솔신텍(주), 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
한솔아트원제지(주), 피합병
한일건설(주), 자본전액잠식
한일네트웍스(주), 상장폐지신청
한화화인케미칼(주), 피합병
현대정보기술(주), 피합병
현대페인트(주), 감사의견거절
현대하이스코(주), 피합병
현진소재(주), 감사의견거절
