,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,비유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출총이익증가율,당기순이익증가율,정상영업손익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,영업비용대영업수익비율,기업순이익률,금융비용대총비용비율,이자부담률,1주당매출액,1주당순이익,1주당CASHFLOW,1주당정상영업이익,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,비유동비율,유동비율,당좌비율,현금비율,매입채무대재고자산비율,부채비율,유동부채비율,단기차입금대총차입금비율,순운전자본비율,차입금비율,CASHFLOW대부채비율,CASHFLOW대차입금비율,CASHFLOW대총자본비율,CASHFLOW대매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의증가,기업생애주기,통계청 한국표준산업분류 10차(대분류),경영기간,상장기간,label
20,(주)HJ중공업,97230,2020/12,-11.187941812517256,-3.0919321039737158,-17.917354202645367,-3.705701710889437,-54.047047633185706,30.61666816330196,4.117510902525924,-26.488584886524983,-74.41086458785834,-38.41887427092403,7.69,4.62,3.36,27.71,92.31,96.96,5.51,2.9,2.45,20364.21,940.0,3175.7,619.99,48.66,15.66,94.78,41.04,51.34,14.59,85.41,351.98,103.19,87.03,20.67,123.5,585.57,323.3,18.49,1.5,274.31,11.22,23.95,9.58,12.39,0.73,6.0,0.83,9.09,1.43,1.85,6.39,16.72,2.8,0.65,264454.0,73036.0,-245607.0,91459.0,Shake-Out,건설업,13.0,14.0,0
21,(주)HJ중공업,97230,2021/12,8.72350269274861,54.92217722589239,-11.10212868003852,27.51374142243144,-11.993443329065917,35.00029687221682,0.6319675200419858,-115.73299813751714,-278.4953922344472,-311.1042243700246,-1.2,-8.19,-6.11,-37.18,101.2,106.39,-4.35,2.13,2.11,20492.91,-1679.0,-1328.54,-1308.82,39.79,15.5,66.08,33.62,60.21,18.11,81.89,332.46,99.9,84.41,12.45,152.46,452.13,219.9,18.74,-0.04,201.67,3.94,8.83,3.22,4.51,0.75,4.54,0.89,7.92,1.69,2.01,10.86,27.89,2.25,0.85,-110633.0,38384.0,-23350.0,-95584.0,쇠퇴기,건설업,14.0,15.0,0
22,(주)MH에탄올,23150,2011/12,-0.4908466734386701,2.915196762107912,-0.6719290234196621,-0.3971557795729168,18.30113014947138,-8.489008042895442,-18.643729109141116,-7.257269590931494,-143.0005577244841,-82.51667149898522,16.81,-9.73,-3.24,-9.74,83.19,99.07,-0.3,7.9,4.4,6397.88,-611.0,25.55,86.18,34.04,21.31,51.6,26.78,65.96,31.79,68.21,207.49,58.36,45.92,5.22,0.11,214.54,183.43,32.19,-24.28,27.96,2.62,20.09,1.79,5.35,0.33,1.0,0.5,148.03,0.98,1.22,4.99,4.83,0.6,0.36,179.0,12547.0,-9638.0,3195.0,Shake-Out,제조업,33.0,16.0,0
23,(주)MH에탄올,23150,2012/12,0.1333760534100307,-4.549198841442351,9.483777748587942,-4.691118164669204,111.26861838726244,-7.005414020202967,33.45539801272748,42.659758203799655,106.58710121643334,804.1459369817579,17.97,0.48,0.21,1.01,82.03,90.88,3.56,7.46,4.82,8538.31,59.0,-700.89,778.82,37.21,41.13,59.27,21.91,62.79,29.53,70.47,212.65,61.27,36.07,0.73,0.07,238.69,205.72,90.04,-23.53,192.7,-2.5,-3.09,-1.76,-3.95,0.45,1.45,0.64,4611.92,1.25,1.83,3.94,6.33,0.81,0.47,-4906.0,1115.0,377.0,-3489.0,쇠퇴기,제조업,34.0,17.0,0
24,(주)MH에탄올,23150,2013/12,-3.4884586192014044,-1.9918710503605133,-13.661267746450708,2.54100692139945,-39.291097389021246,15.64594989666818,4.069067059295945,-26.587818960700314,2348.7804878048782,-44.79090242112986,12.67,11.3,5.32,16.85,87.33,95.16,7.71,5.0,3.53,8885.7,1022.0,873.44,429.96,33.29,28.92,49.91,23.66,66.71,35.38,64.62,188.56,57.37,40.78,0.14,0.03,182.66,164.02,89.08,-24.74,163.01,0.72,0.81,0.47,0.97,0.47,1.45,0.7,6573.65,1.33,2.07,3.76,5.98,0.87,0.5,6114.0,-4784.0,-1818.0,109.0,성숙기,제조업,35.0,18.0,0
25,(주)MH에탄올,23150,2014/12,-34.05064071920924,-48.75374586357245,-33.45916902126083,-34.34697179842811,-44.041326285439695,15.043804210434557,-21.2475884244373,50.627933527844725,-102.88844621513944,190.531561461794,24.24,-0.41,-0.19,-0.38,75.76,82.15,0.93,2.66,2.07,6638.69,-26.0,699.22,1185.18,33.59,24.32,50.58,25.42,66.41,61.72,38.28,107.61,90.87,68.77,0.02,0.0,62.03,59.9,97.51,-3.38,55.71,17.21,19.17,6.59,11.51,0.46,0.99,0.84,26321.22,1.36,1.87,5.03,4.65,0.92,0.55,5159.0,-4570.0,-40343.0,-101.0,성숙기,제조업,36.0,19.0,0
26,(주)MH에탄올,23150,2015/12,-7.644823756357047,2.117340575894465,-21.683895443945563,-0.5422248824886009,-48.43280377844568,9.651631968781375,2.8621590723501558,17.576216944584807,3932.019704433497,26.8381932532876,27.71,15.44,9.46,14.06,72.29,77.99,10.17,1.43,2.19,6828.76,1063.0,1813.92,1503.28,28.48,16.01,39.83,23.92,71.52,73.27,26.73,97.6,109.55,92.01,15.38,0.0,36.47,35.48,97.4,2.48,32.17,43.92,49.79,11.74,18.4,0.61,0.91,1.87,0.0,1.97,2.48,9.52,4.7,1.38,0.97,13384.0,2896.0,-13158.0,3152.0,Shake-Out,제조업,37.0,20.0,0
27,(주)MH에탄올,23150,2016/12,-8.425743075598763,1.4763752815697342,-12.408337407226346,-6.841313390565537,53.733000277546495,9.84382558219888,-2.955185964355178,6.976577609053793,4.704974932510606,7.050126217093402,30.54,16.66,10.76,13.41,69.46,75.72,11.15,0.76,1.97,6626.94,1129.0,1659.66,1609.33,27.25,28.1,37.45,19.59,72.75,87.89,12.11,82.78,257.95,185.46,17.87,0.0,13.77,12.02,93.65,16.68,8.63,146.33,233.68,17.71,26.21,0.65,0.81,3.27,0.0,2.32,2.96,10.7,4.65,1.32,1.39,12246.0,1462.0,-15502.0,-1794.0,Shake-Out,제조업,38.0,21.0,0
28,(주)MH에탄올,23150,2017/12,591.4293613491844,941.0740552539382,330.09792480592625,689.3064791943758,1.2637660227477885,68.03026013651663,6.298954946111214,-1.2253096752594577,-47.1086556169429,-31.640559204985685,28.38,8.29,1.5,10.42,71.62,84.38,1.24,-1.46,-0.38,7044.38,942.0,452.24,1100.05,16.95,6.62,20.41,15.83,83.05,21.36,78.64,388.83,44.64,41.69,7.8,8.16,368.17,177.74,33.04,-21.02,237.29,1.98,3.07,1.56,14.99,0.18,0.61,0.26,227.16,0.99,1.11,9.33,4.99,0.24,0.34,3337.0,-25460.0,35572.0,13449.0,성장기,제조업,39.0,22.0,0
29,(주)MH에탄올,23150,2018/12,-11.99608141069215,0.3393548917455326,-65.10947527368819,-1.1578866282148803,16.562667142093066,-14.275953087413535,40.05425476653135,30.63313449023861,-379.31754874651807,-84.8712578538869,26.47,-16.53,-2.56,-0.93,73.53,98.31,-0.24,12.86,2.94,9865.91,-87.0,-1527.36,166.46,6.72,22.11,7.2,5.23,93.28,20.81,79.19,448.33,20.96,16.33,4.89,9.59,380.62,154.04,25.28,-25.33,239.34,-1.14,-1.81,-0.9,-5.45,0.15,0.73,0.2,134.23,1.27,1.42,11.99,6.8,0.19,0.33,-11270.0,40276.0,-36918.0,-7911.0,쇠퇴기,제조업,40.0,23.0,0
