,상장기간
1448,4
1449,22
1450,23
1451,24
1452,25
1453,26
1454,27
1455,28
1456,29
1457,30
1458,31
1459,32
1460,33
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,1
1469,2
1470,3
1471,4
1472,5
1473,0
1474,0
1475,0
1476,0
1477,0
1478,1
1479,2
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,1
1492,21
1493,22
1494,23
1495,24
1496,25
1497,26
1498,27
1499,28
1500,29
1501,30
1502,31
1503,32
1504,1
1505,2
1506,3
1507,4
1508,5
1509,6
1510,7
1511,8
1512,9
1513,10
1514,11
1515,12
1516,16
1517,17
1518,18
1519,19
1520,20
1521,21
1522,22
1523,23
1524,24
1525,25
1526,26
1527,27
1528,4
1529,5
1530,6
1531,7
1532,8
1533,16
1534,4
1535,17
1536,5
1537,6
1538,18
1539,19
1540,7
1541,8
1542,20
1543,21
1544,22
1545,23
1546,24
1547,25
1548,26
1549,27
1550,27
1551,28
1552,29
1553,30
1554,31
1555,32
1556,33
1557,34
1558,35
1559,36
1560,37
1561,38
1562,6
1563,7
1564,8
1565,9
1566,10
1567,11
1568,12
1569,13
1570,14
1571,15
1572,16
1573,17
1574,1
1575,2
1576,3
1577,4
1578,5
1579,6
1580,7
1581,8
1582,9
1583,10
1584,11
1585,12
1586,2
1587,3
1588,4
1589,5
1590,6
1591,7
1592,8
1593,9
1594,10
1595,11
1596,12
1597,13
1598,36
1599,37
1600,38
1601,39
1602,40
1603,41
1604,42
1605,43
1606,44
1607,45
1608,46
1609,47
1610,24
1611,25
1612,26
1613,27
1614,28
1615,29
1616,30
1617,31
1618,32
1619,33
1620,34
1621,35
1622,23
1623,24
1624,25
1625,26
1626,34
1627,35
1628,36
1629,37
1630,38
1631,39
1632,40
1633,41
1634,42
1635,24
1636,25
1637,26
1638,27
1639,28
1640,29
1641,30
1642,31
1643,32
1644,33
1645,34
1646,35
1647,21
1648,22
1649,23
1650,24
1651,25
1652,26
1653,27
1654,28
1655,29
1656,30
1657,31
1658,32
1659,4
1660,5
1661,6
1662,7
1663,8
1664,9
1665,10
1666,11
1667,12
1668,13
1669,14
1670,15
1671,23
1672,24
1673,25
1674,26
