회사명,거래소코드,회계년도,기업가치(EV)(IFRS),EBITDA(IFRS),EBITDA/매출액(IFRS),EV/EBITDA(IFRS),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결),투자활동으로 인한 현금흐름(*)(요약)(IFRS연결),재무활동으로 인한 현금흐름(*)(요약)(IFRS연결),현금및현금성자산의 증가(요약)(IFRS연결)
(주)강스템바이오텍,217730,2021/12,125308.14,-18971.25,-504.99,0,0,0,3.47,1.11,0,0,63.94,20.53,-16994,-24775,39286,-2427
(주)강원에너지,114190,2011/11,8670.99,6903.51,13.75,1.26,5,2.91,1.23,0.72,1.91,1.11,0.57,0.33,,,,
(주)강원에너지,114190,2012/12,53153.82,11991.58,11.26,4.43,11.63,4.49,3.02,1.17,0,0,0.98,0.38,,,,
(주)강원에너지,114190,2013/12,1579.07,3620.42,7.15,0.44,14.4,6.93,1.27,0.61,3.33,1.6,1.12,0.54,,,,
(주)강원에너지,114190,2014/12,18306.34,2191.8,4.26,8.35,60.48,25.95,1.39,0.6,0,0,1.32,0.57,,,,
(주)강원에너지,114190,2015/12,14942.62,1469.25,3.01,10.17,89.54,35.13,1.49,0.58,4.27,1.68,1.62,0.64,9499,-4069,14511,19949
(주)강원에너지,114190,2016/12,28717.05,-370,-0.83,0,0,0,1.15,0.68,0,0,1.36,0.81,-15784,-273,-1,-16038
(주)강원에너지,114190,2017/12,27218.77,-4918.72,-5.92,0,0,0,1.2,0.79,0,0,0.67,0.44,-3707,-747,2951,-1826
(주)강원에너지,114190,2018/12,40064.23,1048.79,1.22,38.2,53.76,17.66,2.19,0.72,0,0,1.24,0.41,-10173,-801,16694,5669
(주)강원에너지,114190,2019/12,74448.3,-16321.52,-38.36,0,0,0,3.77,1.41,11.96,4.49,1.97,0.74,6960,-14688,-8326,-16103
(주)강원에너지,114190,2020/12,42102.29,-7790.82,-20.32,0,0,0,4.93,1.65,0,0,2.19,0.73,-4483,23324,-13524,5290
(주)강원에너지,114190,2021/12,62540.37,2715.88,6.15,23.03,7.83,7.83,1.59,1.59,0,0,1.03,1.03,,,,
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,61980.59,5456.83,6.22,11.36,96.87,51.17,1.3,0.68,30.75,16.24,1.11,0.59,,,,
(주)고려시멘트,198440,2018/12,96116.63,6331.58,7.38,15.18,30.67,11.05,1.68,0.61,82.41,29.69,1.66,0.6,,,,
(주)고려시멘트,198440,2019/12,105972.63,1955.41,2.76,54.19,43.83,18.17,1.7,0.71,52.01,21.56,2.1,0.87,,,,
(주)고려시멘트,198440,2020/12,90049.27,6668.93,9.5,13.5,29.53,10.43,1.44,0.51,16.49,5.82,1.87,0.66,,,,
(주)고려시멘트,198440,2021/12,121600.15,5881.21,8.96,20.68,38.61,20.48,1.54,0.82,13.41,7.11,2.73,1.45,,,,
