,회사명,거래소코드,회계년도,총자본증가율,총자본순이익률,자기자본순이익률,매출원가대매출액비율,금융비용대총비용비율,자기자본구성비율,순운전자본비율,CASHFLOW대총자본비율,순운전자본회전률,1주당순이익,1주당정상영업이익,시가총액
4217,(주)포스코엠텍,009520,2021/12,19.97728371564737,9.12,13.0,91.45,-0.17,66.89,54.45,5.14,2.01,314.0,393.24,325645937460
4218,(주)포인트모바일,318020,2020/12,42.02356999137683,-27.52,-42.01,70.16,1.06,64.77,37.0,12.96,0.83,-3634.0,22.23,343393292400
4219,(주)포인트모바일,318020,2021/12,5.416413681441004,-3.42,-5.45,73.7,0.35,60.84,44.55,5.58,0.96,-223.0,32.65,224755328000
4220,(주)포인트엔지니어링,256630,2020/12,17.323412632211138,8.95,12.18,63.38,0.29,73.32,31.89,12.15,0.82,155.0,197.1,158253157980
4221,(주)포인트엔지니어링,256630,2021/12,-3.6155428528092974,3.99,5.21,73.15,0.32,76.73,31.2,9.28,0.76,71.0,53.3,191731376900
4222,(주)폴라리스세원,234100,2017/12,2.052604712393541,-0.1,-0.18,85.28,0.12,58.79,27.28,6.89,1.2,-12.0,453.54,29790600000
4223,(주)폴라리스세원,234100,2018/12,55.31393971304463,2.71,4.62,87.75,0.45,58.68,14.06,-3.83,1.21,63.0,51.16,53495334150
4224,(주)폴라리스세원,234100,2019/12,38.34158248016814,4.06,4.23,80.53,1.85,54.26,5.15,6.7,1.12,69.0,283.57,63231932625
4225,(주)폴라리스세원,234100,2020/12,-10.031121348755146,12.31,18.7,80.36,1.95,68.69,12.58,4.21,1.16,341.0,191.74,129705266065
4226,(주)폴라리스오피스,041020,2013/12,35.019982238010655,6.33,11.57,0.0,-1.55,73.88,48.66,9.25,0.58,519.0,561.44,203868852000
4227,(주)폴라리스오피스,041020,2014/12,-20.76776347162613,-6.41,-6.99,0.0,-1.88,87.58,45.26,5.46,0.45,-329.0,134.48,132561299200
4228,(주)폴라리스우노,114630,2011/12,44.27465175953079,13.12,15.54,76.57,-1.1,80.53,63.43,4.91,1.16,612.0,593.69,42034538470
4229,(주)폴라리스우노,114630,2012/12,13.4883203912788,7.01,8.75,78.9,-1.08,79.68,63.19,8.24,1.03,384.0,412.31,57065464765
4230,(주)폴라리스우노,114630,2013/12,-0.9836707851176067,3.18,3.92,78.34,-0.89,82.35,63.63,6.32,0.92,181.0,153.66,46654433565
4231,(주)폴라리스우노,114630,2014/12,-5.4081171217003,5.92,6.64,79.73,-0.94,89.16,63.62,10.57,0.93,320.0,296.7,44181813655
4232,(주)폴라리스우노,114630,2015/12,6.934879065389844,5.09,5.66,74.7,-0.76,90.56,65.32,11.6,0.72,288.0,240.48,74379411000
4233,(주)폴라리스우노,114630,2016/12,8.850361139440338,0.46,0.52,72.17,-0.75,86.35,60.11,9.25,0.71,27.0,387.74,83208405450
4234,(주)폴라리스우노,114630,2017/12,7.730318042970455,-0.69,-1.49,77.51,-0.96,87.98,58.48,4.55,0.72,-42.0,101.55,78050298750
4235,(주)폴라리스우노,114630,2018/12,-2.1659101468958863,-2.76,-3.52,81.78,-0.58,83.25,48.57,3.05,0.73,-184.0,63.02,58978877925
4236,(주)푸드나무,290720,2019/12,9.801155577885565,8.2,9.03,63.05,-0.92,89.34,76.22,6.66,1.28,656.0,803.35,112299561000
4237,(주)푸드나무,290720,2020/12,16.981397722672956,10.21,11.76,64.7,-0.43,84.65,60.36,6.28,2.06,935.0,976.27,165726927900
4238,(주)푸드나무,290720,2021/12,5.962088160072213,0.38,0.47,69.97,-0.16,77.72,48.41,-2.37,3.09,39.0,219.49,216431881200
4239,(주)푸드웰,005670,2011/12,5.902541686903027,0.6,2.64,84.56,2.13,43.93,-10.89,3.67,1.08,278.0,694.69,12200000000
4240,(주)푸드웰,005670,2012/12,-1.2341527047409402,1.44,2.86,85.51,1.89,44.93,-3.82,3.82,1.19,308.0,1196.03,13640000000
4241,(주)푸드웰,005670,2013/12,-0.162000969942113,1.38,2.18,84.79,1.63,45.76,-0.68,5.09,1.15,117.0,571.62,18320000000
4242,(주)푸드웰,005670,2014/12,4.37595601306379,2.14,2.23,85.88,1.56,45.48,1.68,6.85,1.09,120.0,481.15,22360000000
4243,(주)푸드웰,005670,2015/12,10.33666699673235,1.81,1.44,86.21,1.18,42.13,-3.53,7.62,1.08,78.0,498.87,43520000000
4244,(주)푸드웰,005670,2016/12,17.105062416426602,1.78,3.55,86.8,1.16,36.47,-12.89,6.32,1.04,192.0,468.83,58640000000
4245,(주)푸드웰,005670,2017/12,-2.147307435875821,2.27,5.95,86.44,1.06,37.73,-10.56,5.66,1.08,327.0,601.86,38920000000
4246,(주)푸드웰,005670,2018/12,2.829575446208306,4.2,9.89,83.95,1.03,39.72,-1.84,7.45,1.06,574.0,933.21,47600000000
4247,(주)푸드웰,005670,2019/12,13.862909367859864,22.78,50.19,84.42,0.17,55.45,18.12,7.41,1.07,3153.0,1072.86,61000000000
4248,(주)푸드웰,005670,2020/12,-5.185214913512862,3.95,5.23,85.23,0.06,61.79,21.94,8.71,1.05,423.0,618.37,74500000000
4249,(주)푸드웰,005670,2021/12,8.044444444444444,5.19,7.06,84.8,0.04,63.16,15.23,6.79,1.21,609.0,609.17,70400000000
4250,(주)푸른기술,094940,2013/12,5.04919650843589,7.87,11.17,73.84,-0.98,71.97,35.15,7.59,0.89,849.0,452.77,22063941000
4251,(주)푸른기술,094940,2018/12,7.380982447278697,3.86,4.98,77.4,-0.03,77.59,48.28,-3.78,1.06,225.0,88.88,133127590500
4252,(주)푸른기술,094940,2019/12,4.574586934791556,1.72,2.17,76.09,-0.19,80.41,53.46,1.07,0.97,102.0,56.65,104201101700
4253,(주)푸른기술,094940,2020/12,7.975822322181614,2.62,3.33,80.34,-0.5,77.11,39.93,4.79,0.84,163.0,15.5,77575583600
4254,(주)푸른기술,094940,2021/12,15.187335641940273,3.9,5.14,83.8,-1.06,74.72,42.42,0.18,0.97,207.0,9.42,81272671920
4255,(주)퓨얼셀파워,139170,2013/12,42.38527871881737,32.79,43.74,57.47,-0.93,77.77,55.77,12.58,1.15,1548.0,1112.22,31333302000
4256,(주)퓨전,195440,2016/12,85.14523321682536,2.74,4.79,69.17,1.38,57.35,51.05,-13.83,0.68,413.0,2102.28,49237500000
4257,(주)프럼파스트,035200,2011/12,14.223968565815325,3.47,5.88,86.48,0.97,57.25,19.16,6.54,1.51,169.0,223.24,15554000000
4258,(주)프럼파스트,035200,2012/12,2.761359727304,4.0,6.88,85.86,1.1,58.94,30.05,1.76,1.57,210.0,309.24,14075600000
4259,(주)프럼파스트,035200,2013/12,13.225806451612904,8.37,14.33,83.25,0.88,57.91,37.28,-0.52,1.53,479.0,623.76,19404000000
4260,(주)프럼파스트,035200,2014/12,2.644734720206418,6.85,11.28,83.83,0.87,63.38,34.65,5.38,1.27,439.0,557.87,19927600000
4261,(주)프럼파스트,035200,2015/12,-4.70280178057083,7.87,11.55,83.65,0.53,73.15,48.14,9.8,1.13,416.0,387.41,23746800000
4262,(주)프럼파스트,035200,2016/12,7.611144694180359,8.48,11.51,80.5,0.16,74.27,54.66,4.26,1.32,413.0,549.68,57442947120
4263,(주)프럼파스트,035200,2017/12,4.455622510468798,10.85,13.9,78.35,0.05,84.87,58.76,7.1,1.36,500.0,709.2,38601566400
4264,(주)프럼파스트,035200,2018/12,-1.9800044000097776,4.07,4.7,79.78,-0.24,88.63,63.89,16.12,0.94,169.0,280.81,29944106045
4265,(주)프럼파스트,035200,2019/12,-4.760717224868451,3.02,3.34,79.92,-0.99,92.18,68.46,18.6,0.89,124.0,156.87,32208252900
4266,(주)프럼파스트,035200,2020/12,0.2539931919350615,3.92,4.26,80.15,-1.39,91.52,57.18,13.85,0.85,171.0,154.99,44955325800
4267,(주)프럼파스트,035200,2021/12,6.344189933920131,5.24,5.88,77.51,-0.6,89.08,58.39,3.04,0.93,252.0,240.01,62373081900
4268,(주)프로텍,053610,2011/12,31.51346363007152,26.78,32.92,62.98,-2.37,82.16,61.42,18.6,0.85,2146.0,1359.98,60300000000
4269,(주)프로텍,053610,2012/12,12.848818996303493,16.66,19.27,64.1,-1.67,86.44,29.87,8.33,1.67,1712.0,1983.32,79560000000
4270,(주)프로텍,053610,2013/12,18.20917398594255,7.54,9.15,68.05,-0.06,78.96,37.89,6.82,1.18,845.0,1032.04,76500000000
4271,(주)프로텍,053610,2014/12,16.34823122733848,12.94,16.34,68.34,-0.18,79.12,43.27,7.91,1.32,1694.0,1850.15,77850000000
4272,(주)프로텍,053610,2015/12,9.919910868547255,8.25,10.48,67.18,0.89,79.3,19.58,6.47,0.99,1223.0,1368.6,74790000000
4273,(주)프로텍,053610,2016/12,9.513106963694188,8.63,11.58,69.53,0.31,81.35,25.24,8.06,1.17,1515.0,1595.6,107147528400
4274,(주)프로텍,053610,2017/12,18.024023983742563,15.62,19.78,69.73,0.04,82.75,36.07,6.45,1.47,2939.0,3180.28,192042120900
4275,(주)프로텍,053610,2018/12,12.939906236681349,13.57,16.67,67.77,-0.14,83.56,41.44,3.18,1.18,2904.0,3396.25,121090598400
4276,(주)프로텍,053610,2019/12,16.99505902005575,17.34,19.94,63.42,-0.57,89.28,53.86,18.31,1.14,3720.0,4182.27,177100000000
4277,(주)프로텍,053610,2020/12,-2.180859527874662,4.84,5.54,66.37,-1.86,90.89,47.99,19.18,0.54,1154.0,1399.55,301400000000
4278,(주)프로텍,053610,2021/12,25.57770430684276,18.35,20.66,60.76,-0.33,87.9,50.21,5.4,0.98,4829.0,4575.69,295350000000
4279,(주)프롬바이오,377220,2021/12,114.2914295874822,15.96,20.88,24.43,-0.16,87.57,62.31,7.49,2.04,921.0,96199.63,154289500000
4280,(주)프리엠스,053160,2011/12,5.48308644704842,6.78,8.24,76.42,-1.83,81.85,42.93,9.29,1.5,438.0,472.74,15600000000
4281,(주)프리엠스,053160,2012/12,6.743120639578406,8.87,10.68,75.21,-1.57,84.2,44.87,9.33,1.59,639.0,525.61,18960000000
4282,(주)프리엠스,053160,2013/12,2.569497040590199,7.33,8.46,73.71,-1.63,89.06,46.81,9.03,1.45,552.0,445.96,21720000000
