,회사명,거래소코드,회계년도,총자본증가율,총자본순이익률,자기자본순이익률,매출원가대매출액비율,금융비용대총비용비율,자기자본구성비율,순운전자본비율,CASHFLOW대총자본비율,순운전자본회전률,시가총액
72,(주)갤럭시아에스엠,011420,2013/12,-14.420518884012823,-4.26,-7.07,89.94,0.3,57.11,16.99,9.74,1.3,36890157120
73,(주)경농,002100,2011/12,-12.427747121223574,0.29,0.36,65.33,0.79,82.28,39.99,8.15,1.02,65183708750
74,(주)경농,002100,2012/12,55.03642662308516,3.83,7.43,63.97,1.32,56.32,14.71,3.27,0.56,69305141250
75,(주)경농,002100,2013/12,-4.984169286560039,5.31,8.89,65.78,1.83,63.74,22.29,5.34,0.88,76897253750
76,(주)경농,002100,2014/12,11.18737426021056,2.63,4.73,65.14,1.49,59.35,17.29,5.84,0.87,101300472500
77,(주)경농,002100,2015/12,11.14421533045467,2.32,4.13,64.71,1.47,55.21,14.79,0.77,0.78,110411007500
78,(주)경농,002100,2016/12,1.44558737063052,2.0,3.86,66.36,1.21,57.33,13.62,0.96,0.75,125812150000
79,(주)경농,002100,2017/12,4.661358926818628,3.07,5.83,67.23,1.41,57.21,12.62,4.74,0.75,130367417500
80,(주)경농,002100,2018/12,6.367566408831883,1.41,3.08,65.79,1.32,56.39,11.67,3.7,0.73,234270900000
81,(주)경농,002100,2019/12,3.810379526452649,1.1,2.47,67.29,1.62,54.43,16.83,1.29,0.75,246201362500
82,(주)경농,002100,2020/12,0.1758009458738008,3.58,6.69,67.53,1.08,56.89,15.73,2.0,0.78,260301000000
83,(주)경농,002100,2021/12,4.645704472903646,4.24,7.85,69.21,0.85,60.91,21.48,3.43,0.82,239151543750
84,(주)경동나비엔,009450,2011/12,10.30920490168139,3.77,5.8,73.71,0.08,63.87,18.18,7.21,1.73,76437060000
85,(주)경동나비엔,009450,2012/12,13.874420142015342,3.26,5.41,74.56,0.03,58.68,15.07,7.2,1.66,149052267000
86,(주)경동나비엔,009450,2013/12,18.3665298768892,3.4,6.19,71.51,0.13,52.79,-4.35,6.84,1.57,222304449500
87,(주)경동나비엔,009450,2014/12,13.213540785839111,2.48,4.92,73.16,0.49,47.31,-6.57,0.95,1.36,369445790000
88,(주)경동나비엔,009450,2015/12,0.1058111482625809,4.17,8.48,68.76,0.46,51.25,-4.69,3.79,1.5,398109687500
89,(주)경동나비엔,009450,2016/12,6.8818953253549005,9.01,16.79,65.55,0.25,55.56,-0.48,12.22,1.69,548435905500
90,(주)경동나비엔,009450,2017/12,17.205617153959814,5.79,10.73,65.15,0.18,50.92,2.19,8.08,1.7,653536863000
91,(주)경동나비엔,009450,2018/12,15.862512581968922,4.55,9.23,67.13,0.45,48.0,2.04,0.5,1.44,529326640500
92,(주)경동나비엔,009450,2019/12,4.491463272537851,4.67,9.59,65.82,0.48,49.37,0.66,5.27,1.4,593661166000
93,(주)경동나비엔,009450,2020/12,20.478740849578884,6.19,12.83,62.17,0.4,47.39,3.05,9.27,1.41,708806433000
94,(주)경동나비엔,009450,2021/12,27.1129688888768,9.67,20.2,62.0,0.21,48.23,4.37,7.4,1.37,799815700800
95,(주)경동도시가스,267290,2018/12,9.572281353832292,4.59,11.11,92.16,-0.15,41.18,8.78,9.0,2.1,156606491600
96,(주)경동도시가스,267290,2019/12,-3.632543975741067,3.22,7.45,92.09,-0.17,45.28,9.86,10.31,1.85,125277377500
97,(주)경동도시가스,267290,2020/12,-6.7121422828563775,2.62,5.46,90.49,-0.11,50.98,9.71,2.45,1.67,109654551600
98,(주)경동도시가스,267290,2021/12,29.276303565456264,2.45,5.9,92.18,-0.1,41.51,8.7,15.34,1.48,133236175600
99,(주)경방,000050,2012/12,-1.27809607756721,-0.59,-1.26,78.18,5.58,46.49,-3.09,0.12,0.8,186368000000
100,(주)경방,000050,2013/12,-2.850176773729626,1.11,2.32,72.43,4.11,49.07,-2.45,2.66,1.32,271660482000
101,(주)경방,000050,2014/12,0.3740972359827261,0.88,1.79,72.44,3.84,49.75,-23.67,2.88,0.88,498957914000
102,(주)경방,000050,2015/12,1.290633802438239,1.27,2.55,71.55,2.89,50.28,-5.9,2.42,0.89,527743947500
103,(주)경방,000050,2016/12,-1.2688802048772867,2.25,4.39,71.1,2.15,52.22,-3.8,4.14,1.36,419453631000
104,(주)경방,000050,2017/12,-2.1406225156711938,1.97,3.67,70.25,1.9,54.88,-17.99,4.94,1.08,381072253000
105,(주)경방,000050,2018/12,2.1781856485108024,1.57,2.87,69.44,2.41,54.45,-3.26,2.69,1.01,296084916000
106,(주)경방,000050,2019/12,5.29646418439798,3.26,6.01,71.07,2.61,54.1,5.29,2.88,0.93,254413705600
107,(주)경방,000050,2020/12,-7.721365508607747,0.99,1.76,70.59,1.73,58.66,-13.31,3.97,0.77,339949348000
108,(주)경방,000050,2021/12,0.4666764697976602,1.75,2.96,64.37,-0.4,59.19,-8.28,1.65,1.08,376959962500
109,(주)경보제약,214390,2015/12,16.337667747790636,14.36,27.32,72.73,0.56,62.83,20.75,5.19,1.01,339477412000
110,(주)경보제약,214390,2016/12,4.219184809297757,6.37,10.08,76.38,0.54,63.51,14.48,7.26,1.08,333500697000
111,(주)경보제약,214390,2017/12,0.5561118309969765,8.79,13.26,71.5,0.57,69.07,24.53,12.48,1.11,300031093000
112,(주)경보제약,214390,2018/12,8.17790881002006,6.15,9.03,75.53,0.48,67.24,26.9,5.57,1.09,245045315000
113,(주)경보제약,214390,2019/12,7.307003334491456,2.3,3.55,78.76,0.69,62.72,16.97,4.74,0.94,197470663600
114,(주)경보제약,214390,2020/12,6.484818158500024,3.83,6.16,75.63,0.58,61.62,17.54,8.78,0.98,390877161000
115,(주)경인양행,012610,2011/12,-0.670696648070737,0.9,1.65,85.3,1.39,55.16,18.48,0.15,0.85,151312500000
116,(주)경인양행,012610,2012/12,-10.05766637358924,0.69,1.49,86.99,1.22,60.88,18.14,5.33,0.85,102375000000
117,(주)경인양행,012610,2013/12,10.259764204930894,3.38,6.41,83.39,0.67,59.87,21.33,3.45,0.99,167644914750
118,(주)경인양행,012610,2014/12,-1.232390477843159,3.22,5.48,82.33,0.61,63.33,25.01,3.1,1.04,172088514900
119,(주)경인양행,012610,2015/12,4.359840147713225,1.15,1.01,83.64,0.56,61.57,20.62,3.64,0.98,148254659550
120,(주)경인양행,012610,2016/12,5.391093003394687,2.04,2.7,82.96,0.57,60.5,20.88,3.55,0.92,201577861350
121,(주)경인양행,012610,2017/12,3.9651581909909694,1.36,1.85,84.28,0.74,58.93,19.23,3.4,0.95,234298917000
122,(주)경인양행,012610,2018/12,15.378082474975624,3.58,6.59,77.13,0.99,54.18,18.86,0.87,0.93,234298917000
123,(주)경인양행,012610,2019/12,14.306157187582476,3.7,6.57,76.38,1.38,50.3,12.56,0.92,0.86,315686465100
124,(주)경인양행,012610,2020/12,6.994774201884846,-1.55,-4.18,79.18,1.32,45.21,9.29,6.07,0.71,290585609600
125,(주)경인양행,012610,2021/12,14.727718361835826,5.02,11.1,74.73,1.04,43.46,9.73,5.5,0.75,288539973100
126,(주)광명전기,017040,2011/12,6.837820590213697,-1.52,-2.51,87.79,0.89,50.8,14.92,4.03,0.78,147564579075
127,(주)광명전기,017040,2012/12,5.793182496952869,0.32,1.23,87.52,0.59,48.06,16.41,1.98,0.89,107693973275
128,(주)광명전기,017040,2013/12,-7.746597082341451,5.14,9.64,83.77,0.4,57.77,27.05,2.72,0.89,86025165775
129,(주)광명전기,017040,2014/12,14.613227911438992,7.02,12.46,85.16,0.05,56.79,29.17,5.27,0.99,99459826425
130,(주)광명전기,017040,2015/12,-5.139269735892625,6.59,8.63,84.82,-0.04,66.81,34.52,11.4,0.87,102276771400
131,(주)광명전기,017040,2016/12,11.715528914177913,8.33,11.75,90.5,0.06,66.77,19.74,7.83,0.82,141280624900
132,(주)광명전기,017040,2017/12,3.988860063053677,-1.36,-2.2,91.03,0.15,63.29,20.78,3.65,0.88,112244422850
133,(주)광명전기,017040,2018/12,-0.5853965177419672,1.79,2.93,90.53,0.65,65.04,22.21,0.93,1.04,113544551300
134,(주)광명전기,017040,2019/12,3.2208558650533847,4.61,8.53,88.76,-0.05,67.26,26.8,5.32,1.11,98809762200
135,(주)광명전기,017040,2020/12,5.852737169220166,2.81,4.67,90.89,-0.15,66.18,32.07,7.77,0.87,87108606150
136,(주)광명전기,017040,2021/12,2.4366277843084063,3.49,5.54,93.08,-0.13,67.76,37.35,0.8,0.87,111377670550
137,(주)광주신세계,037710,2011/12,16.284197731451226,14.77,18.32,36.75,-6.16,81.47,51.13,15.32,0.74,273600000000
138,(주)광주신세계,037710,2012/12,13.1079384589525,13.25,16.01,36.01,-7.62,83.97,51.5,13.27,0.63,372000000000
139,(주)광주신세계,037710,2013/12,52.40594153665396,8.94,12.61,35.34,-4.9,62.27,-18.15,8.66,0.79,404000000000
140,(주)광주신세계,037710,2014/12,-0.5480257665047626,6.45,9.85,34.89,-2.2,68.73,-11.65,8.24,1.38,491200000000
141,(주)광주신세계,037710,2015/12,1.0319275567246105,7.0,9.77,33.09,-3.3,74.51,-20.27,7.76,1.26,452800000000
142,(주)광주신세계,037710,2016/12,-0.6053116399669444,6.93,8.88,32.8,-4.55,81.51,-13.44,7.8,1.19,397600000000
143,(주)광주신세계,037710,2017/12,-0.0738364279034573,7.3,8.59,32.73,-5.54,88.45,-6.37,7.74,1.61,367200000000
144,(주)광주신세계,037710,2018/12,6.2877565383599565,6.67,7.52,13.11,-11.11,89.15,0.39,7.55,1.04,288000000000
145,(주)광주신세계,037710,2019/12,8.074920461645636,6.58,7.44,11.99,-10.05,87.87,3.65,8.52,0.94,262400000000
146,(주)광주신세계,037710,2020/12,4.253591397392158,5.62,6.35,10.82,-10.52,89.02,9.13,7.97,0.75,244800000000
147,(주)광주신세계,037710,2021/12,8.649869713982673,6.4,7.26,8.98,-9.95,87.51,14.35,7.52,0.66,289600000000
148,(주)국동,005320,2011/12,15.078252941871655,-11.32,-686.46,86.96,1.39,8.55,-24.1,0.57,1.57,4369977860
149,(주)국동,005320,2012/12,-3.4535371614682666,7.68,67.43,81.58,1.41,14.32,-15.44,3.05,1.5,5572724060
